0,CodeBERT,deepwalk_cg,0.4811111111111111,0.40588744588744585,0.3930370798791851
1,CodeBERT,grarep_cg,0.5333333333333333,0.2426190476190476,0.31224386724386727
2,CodeBERT,line_cg,0.0,0.0,0.0
3,CodeBERT,node2vec_cg,0.586111111111111,0.38568542568542563,0.44065612749823274
4,CodeBERT,prone_cg,0.125,0.024285714285714285,0.03636363636363636
5,CodeBERT,sdne_cg,0.3383333333333333,0.2371678321678322,0.24743167307408792
6,CodeBERT,walklets_cg,0.7816666666666666,0.3956349206349206,0.487958152958153
7,CodeGPT,deepwalk_cg,0.5864285714285714,0.32346320346320345,0.3692306223188576
8,CodeGPT,grarep_cg,0.5966666666666667,0.2462301587301587,0.3213797313797314
9,CodeGPT,line_cg,0.0,0.0,0.0
10,CodeGPT,node2vec_cg,0.5452777777777778,0.35053391053391053,0.3824629756208703
11,CodeGPT,prone_cg,0.2,0.03857142857142857,0.06262626262626263
12,CodeGPT,sdne_cg,0.3495238095238095,0.20534965034965036,0.22412698412698412
13,CodeGPT,walklets_cg,0.6278571428571429,0.3248015873015873,0.3884110007639419
14,CodeT5,deepwalk_cg,0.4,0.103015873015873,0.16262626262626262
15,CodeT5,grarep_cg,0.2,0.030952380952380953,0.05357142857142857
16,CodeT5,line_cg,0.0,0.0,0.0
17,CodeT5,node2vec_cg,0.45,0.054487734487734495,0.09621212121212122
18,CodeT5,prone_cg,0.1,0.014285714285714285,0.025
19,CodeT5,sdne_cg,0.10833333333333332,0.03697552447552448,0.053431372549019605
20,CodeT5,walklets_cg,0.29166666666666663,0.12273809523809524,0.15194250194250192
21,CoTexT,deepwalk_cg,0.4333333333333334,0.1563924963924964,0.22157009657009658
22,CoTexT,grarep_cg,0.35,0.0976190476190476,0.14833333333333332
23,CoTexT,line_cg,0.0,0.0,0.0
24,CoTexT,node2vec_cg,0.3583333333333333,0.14210678210678213,0.19942723942723944
25,CoTexT,prone_cg,0.0,0.0,0.0
26,CoTexT,sdne_cg,0.195,0.09515734265734266,0.1246031746031746
27,CoTexT,walklets_cg,0.45,0.2823015873015873,0.3210461760461761
28,GraphCodeBERT,deepwalk_cg,0.65,0.33568542568542564,0.382470584970585
29,GraphCodeBERT,grarep_cg,0.2,0.07261904761904761,0.10555555555555556
30,GraphCodeBERT,line_cg,0.0,0.0,0.0
31,GraphCodeBERT,node2vec_cg,0.5911111111111111,0.28568542568542565,0.35450672134882655
32,GraphCodeBERT,prone_cg,0.15,0.03337662337662338,0.05427350427350428
33,GraphCodeBERT,sdne_cg,0.3142857142857143,0.1344755244755245,0.16085581085581085
34,GraphCodeBERT,walklets_cg,0.4333333333333333,0.19833333333333333,0.26648351648351654
35,PLBART,deepwalk_cg,0.48611111111111105,0.3645743145743145,0.38520158204368726
36,PLBART,grarep_cg,0.45,0.1976190476190476,0.2671428571428572
37,PLBART,line_cg,0.0,0.0,0.0
38,PLBART,node2vec_cg,0.6166666666666667,0.3938672438672438,0.43057400116223643
39,PLBART,prone_cg,0.0,0.0,0.0
40,PLBART,sdne_cg,0.31746031746031744,0.17606643356643356,0.21528265851795264
41,PLBART,walklets_cg,0.595,0.31400793650793646,0.3852136752136752
